dateRecord,batteryVoltage
28/11/2023 11:11,4.72
28/11/2023 11:11,4.71
28/11/2023 11:10,4.72
28/11/2023 11:09,4.72
28/11/2023 11:09,4.72
28/11/2023 11:09,4.72
28/11/2023 11:09,4.72
28/11/2023 11:08,4.72
28/11/2023 11:08,4.72
28/11/2023 11:08,4.72
28/11/2023 11:07,4.72
28/11/2023 11:07,4.72
28/11/2023 11:07,4.72
28/11/2023 11:06,4.72
28/11/2023 11:06,4.72
28/11/2023 11:05,4.72
28/11/2023 11:05,4.73
28/11/2023 11:05,4.73
28/11/2023 11:05,4.72
28/11/2023 11:04,4.73
28/11/2023 11:04,4.72
28/11/2023 11:03,4.72
28/11/2023 11:03,4.73
28/11/2023 11:03,4.73
28/11/2023 11:03,4.73
28/11/2023 11:02,4.73
28/11/2023 11:02,4.73
28/11/2023 11:02,4.73
28/11/2023 11:02,4.73
28/11/2023 11:01,4.73
28/11/2023 11:01,4.73
28/11/2023 11:00,4.73
28/11/2023 10:59,4.73
28/11/2023 10:59,4.73
28/11/2023 10:59,4.73
28/11/2023 10:58,4.73
28/11/2023 10:58,4.74
28/11/2023 10:57,4.74
28/11/2023 10:57,4.74
28/11/2023 10:57,4.74
28/11/2023 10:56,4.74
28/11/2023 10:56,4.74
28/11/2023 10:56,4.74
28/11/2023 10:56,4.74
28/11/2023 10:55,4.74
28/11/2023 10:55,4.74
28/11/2023 10:55,4.74
28/11/2023 10:54,4.74
28/11/2023 10:54,4.74
28/11/2023 10:54,4.74
28/11/2023 10:54,4.74
28/11/2023 10:53,4.74
28/11/2023 10:52,4.74
28/11/2023 10:52,4.74
28/11/2023 10:52,4.75
28/11/2023 10:51,4.74
28/11/2023 10:51,4.74
28/11/2023 10:51,4.74
28/11/2023 10:50,4.75
28/11/2023 10:50,4.75
28/11/2023 10:50,4.75
28/11/2023 10:50,4.75
28/11/2023 10:49,4.74
28/11/2023 10:49,4.75
28/11/2023 10:48,4.75
28/11/2023 10:48,4.74
28/11/2023 10:48,4.75
28/11/2023 10:47,4.75
28/11/2023 10:47,4.75
28/11/2023 10:47,4.75
28/11/2023 10:46,4.75
28/11/2023 10:46,4.75
28/11/2023 10:46,4.76
28/11/2023 10:45,4.76
28/11/2023 10:44,4.75
28/11/2023 10:44,4.75
28/11/2023 10:43,4.76
28/11/2023 10:43,4.76
28/11/2023 10:43,4.76
28/11/2023 10:42,4.76
28/11/2023 10:42,4.76
28/11/2023 10:42,4.76
28/11/2023 10:42,4.76
28/11/2023 10:42,4.76
28/11/2023 10:41,4.76
28/11/2023 10:41,4.76
28/11/2023 10:41,4.76
28/11/2023 10:41,4.76
28/11/2023 10:41,4.76
28/11/2023 10:41,4.76
28/11/2023 10:40,4.76
28/11/2023 10:40,4.76
28/11/2023 10:40,4.76
28/11/2023 10:40,4.76
28/11/2023 10:40,4.76
28/11/2023 10:39,4.76
28/11/2023 10:39,4.76
28/11/2023 10:39,4.76
28/11/2023 10:39,4.76
28/11/2023 10:39,4.76
28/11/2023 10:39,4.76
28/11/2023 10:38,4.76
28/11/2023 10:38,4.76
28/11/2023 10:38,4.76
28/11/2023 10:38,4.76
28/11/2023 10:38,4.76
28/11/2023 10:38,4.76
28/11/2023 10:37,4.76
28/11/2023 10:37,4.76
28/11/2023 10:37,4.76
28/11/2023 10:37,4.76
28/11/2023 10:37,4.76
28/11/2023 10:36,4.76
28/11/2023 10:36,4.76
28/11/2023 10:36,4.76
28/11/2023 10:36,4.76
28/11/2023 10:36,4.76
28/11/2023 10:35,4.76
28/11/2023 10:35,4.76
28/11/2023 10:35,4.76
28/11/2023 10:35,4.76
28/11/2023 10:35,4.76
28/11/2023 10:35,4.76
28/11/2023 10:34,4.76
28/11/2023 10:34,4.76
28/11/2023 10:34,4.76
28/11/2023 10:34,4.76
28/11/2023 10:34,4.76
28/11/2023 10:34,4.76
28/11/2023 10:33,4.76
28/11/2023 10:33,4.77
28/11/2023 10:33,4.76
28/11/2023 10:33,4.76
28/11/2023 10:33,4.76
28/11/2023 10:33,4.76
28/11/2023 10:32,4.77
28/11/2023 10:32,4.76
28/11/2023 10:32,4.76
